"video_id","uploader","interval","category","length","views","rating","total_rating","comments","related_id"
"OAWgPn_OPY0","Rodehihi","705","Music","276","2264","4.8","5","4","1Oo93mav_tg"
"1Oo93mav_tg","fraulobsto","663","Music","182","3142","4.53","15","5","lR8gPPekSoI"
"_XC2mqcMMGQ","beggars","1056","Music","140","1760328","4.48","5942","4830","JlgNFwoApec"
"srxS5AmYPMo","BlankTV","1103","Music","223","2149","4.71","14","12","vZ9p5_YSGt8"
"Z3ClCwcCvdQ","akhenatoon","361","Music","300","769842","4.89","2790","1220","BSsMGNwYDdg"
"boc7rnhkLAk","bezo1981","635","Music","165","1797772","4.87","4607","3203","Ywg-PdeGVL0"
"RGbueOMOEZ8","PolyvinylRecords","0"," UNA ","492","9402","4.72","18","9",""
"PH2Nn5ynhtM","BlankTV","1072","Music","183","11815","4.0","22","13","xpSxvqk6VXA"
"j8xI83Dx7LU","GuchiJnr","900","Music","237","205981","4.8","130","48","E2635txRwHs"
"WWWl8LfAMlY","jfar23","726","Music","269","20862","4.96","132","39","p2LZOkqkWPY"
"GdDxz2bkfhE","sonybmg","738","Music","198","3105123","4.7","8673","8421","hkbdP7sq0w8"
"Eyu3GGKHfJM","wichitarecordings","545","Music","242","230947","4.87","425","353","PC25rvSFxIk"
"XZCZRTcY3uA","radrecycler","641","Music","268","76407","4.81","182","82","KirTaMHAUG0"
"wFBuFGG_04o","sonybmg","734","Music","189","1230391","4.91","3678","1551","SgtN1E2kHmU"
"#NAME?","HIPVideo","800","Music","163","1327","4.91","11","6","lR8gPPekSoI"
"pqaUZkf52fs","freddyfan27","627","Music","191","783616","4.85","2355","921","cizBRwETDwc"
"2x2W12A8Qow","TayZonday","1016","Music","172","3499428","4.27","16653","21323","EwTZ2xpQwpA"
"Uzs-Lm0AvRU","blogestalo","859","People & Blogs","60","6277","4.0","4","5","3OmN4B7yyS8"
"mHWup7ifW2M","UNICEFUSA","1108","Nonprofits & Activism","97","10270","4.37","19","10","3OmN4B7yyS8"
"lZIhcMWohxA","ShalmorYR","856","Film & Animation","47","934","2.6","5","3","mHWup7ifW2M"
"BXMcExlbZA0","ShalmorYR","856","Film & Animation","340","1773","2.33","3","2","3OmN4B7yyS8"
"PNenAd0ookY","unicef","807","News & Politics","93","1554","3.0","3","6","3OmN4B7yyS8"
"DwDy-mEJ3mU","UNICEFUSA","703","News & Politics","208","19134","4.94","50","22","n6HrEOsbVFU"
"vKmnXh8zafo","0merone","868","People & Blogs","301","1019","0.0","0","0","3OmN4B7yyS8"
"7mY6HWTWcBY","fordmodels","1112","People & Blogs","93","38964","4.58","48","29",""
"GsJMhGMvGD8","UNICEFUSA","1024","Nonprofits & Activism","65","440","5.0","3","0",""
"7MAYrF1PDks","francescomas","358","Entertainment","27","235885","4.58","300","467","Yx3HQS69cGo"
"n6HrEOsbVFU","ApollosPlace","961","People & Blogs","264","24824","4.64","42","30","CAEa66reTyg"
